Token Count,Step Count,Actual Log-Likelihood,Retokenized Log-Likelihood,Class
100,250,-468.9306335,-480,1
100,250,-342.7590942,-357,1
100,250,-92.40228271,-110,1
100,250,-160.538269,-184,1
100,250,-264.8319702,-276,1
100,250,-400.7566528,-412,1
100,250,-409.5029907,-420,1
100,250,-483.8147278,-501,1
100,250,-704.5700684,-718,1
100,250,-619.1274414,-623,1
100,250,-414.6709595,-423,1
100,250,-288.7391968,-312,1
100,250,-595.8862305,-597,1
100,250,-359.6547546,-363,1
100,250,-428.8782654,-433,1
100,250,-454.578125,-467,1
100,250,-559.6868286,-544,1
100,250,-287.6357422,-300,1
100,250,-417.1963196,-422,1
100,250,-234.4204712,-247,1
100,250,-378.1938477,-386,1
100,250,-394.4768982,-405,1
100,250,-514.0803833,-510,1
100,250,-363.1233521,-369,1
100,250,-465.9597473,-508,1
100,250,-344.1348877,-392,1
100,250,-236.1827393,-246,1
100,250,-370.4593506,-425,1
100,250,-502.9996033,-531,1
100,250,-503.4415283,-509,1
100,250,-380.2809143,-391,1
100,250,-471.1663818,-482,1
100,250,-448.1892395,-460,1
100,250,-361.1086426,-372,1
100,250,-378.7192078,-386,1
100,250,-308.741272,-307,1
100,250,-428.3522034,-440,1
100,250,-304.2056885,-300,1
250,400,-1014.81958,-1036,1
250,400,-1092.300659,-1108,1
250,400,-1250.259766,-1270,1
250,400,-648.9535522,-660,1
250,400,-1211.397827,-1223,1
250,400,-1010.370239,-1017,1
250,400,-1079.673706,-1077,1
250,400,-931.9490356,-944,1
250,400,-1002.815247,-1018,1
250,400,-1125.63855,-1124,1
250,400,-207.3677063,-200,1
250,400,-1024.616577,-1028,1
250,400,-1085.818604,-1108,1
250,400,-952.7697754,-954,1
250,400,-1436.795166,-1421,1
250,400,-1048.053711,-1055,1
250,400,-1130.130249,-1144,1
250,400,-888.895874,-911,1
250,400,-1141.492798,-1144,1
250,400,-853.032959,-865,1
250,400,-1030.86438,-1040,1
250,400,-971.838623,-984,1
250,400,-914.9334106,-922,1
250,400,-473.481842,-866,1
250,400,-1048.189087,-1086,1
250,400,-1124.042236,-1146,1
250,400,-528.2374268,-531,1
250,400,-176.9811554,-199,1
250,400,-757.034729,-771,1
250,400,-1024.519287,-1037,1
250,400,-1068.591187,-1067,1
250,400,-885.1886597,-896,1
250,400,-1036.30957,-1047,1
250,400,-1170.728271,-1179,1
250,400,-980.9544678,-990,1
250,400,-1059.54834,-1064,1
250,400,-1000.416809,-997,1
250,400,-1052.718018,-1048,1
250,400,-1030.19458,-1048,1
250,400,-1194.907349,-1232,1
250,400,-1035.694214,-1039,1
250,400,-1072.839844,-1069,1
250,400,-1475.932251,-1505,1
250,400,-1128.068481,-1140,1
400,500,-1698.774414,-1716,1
400,500,-1742.041626,-1750,1
400,500,-1530.126709,-1535,1
400,500,-1549.904175,-1557,1
400,500,-1670.341064,-1696,1
400,500,-1522.165039,-1527,1
400,500,-1342.709351,-1357,1
