Token Count,Step Count,Non-Canonical Log-Likelihood,Canonical Log-Likelihood
100,250,-468.9306335449219,-480.0
100,250,-377.56854248046875,-377.0
100,250,-453.39923095703125,-453.0
100,250,-374.610595703125,-374.0
100,250,-397.5416259765625,-397.0
100,250,-479.68896484375,-479.0
100,250,-105.6938705444336,-105.0
100,250,-331.28289794921875,-331.0
100,250,-342.75909423828125,-357.0
100,250,-92.40228271484375,-110.0
100,250,-377.98028564453125,-377.0
100,250,-434.3981628417969,-434.0
100,250,-407.7345275878906,-407.0
100,250,-349.19189453125,-349.0
100,250,-386.19293212890625,-386.0
100,250,-237.01905822753906,-237.0
100,250,-362.3470153808594,-362.0
100,250,-160.53826904296875,-184.0
100,250,-264.83197021484375,-276.0
100,250,-344.4549560546875,-344.0
100,250,-462.40869140625,-462.0
100,250,-431.5194091796875,-431.0
100,250,-400.75665283203125,-412.0
100,250,-423.3135986328125,-423.0
100,250,-411.52734375,-411.0
100,250,-475.62420654296875,-475.0
100,250,-420.74005126953125,-420.0
100,250,-409.50299072265625,-420.0
100,250,-483.8147277832031,-501.0
100,250,-704.570068359375,-718.0
100,250,-619.12744140625,-623.0
100,250,-349.5119323730469,-349.0
100,250,-378.81787109375,-378.0
100,250,-378.2779541015625,-378.0
100,250,-389.725830078125,-389.0
100,250,-456.42303466796875,-456.0
100,250,-370.3565673828125,-370.0
100,250,-414.67095947265625,-423.0
100,250,-288.73919677734375,-312.0
100,250,-595.88623046875,-597.0
100,250,-315.3856201171875,-315.0
100,250,-335.34686279296875,-335.0
100,250,-359.6547546386719,-363.0
100,250,-428.8782653808594,-433.0
100,250,-454.578125,-467.0
100,250,-334.0067138671875,-334.0
100,250,-343.16546630859375,-343.0
100,250,-559.6868286132812,-544.0
100,250,-470.49365234375,-470.0
100,250,-274.046142578125,-274.0
100,250,-287.6357421875,-300.0
100,250,-417.1963195800781,-422.0
100,250,-234.42047119140625,-247.0
100,250,-378.19384765625,-386.0
100,250,-394.4768981933594,-405.0
100,250,-377.2813720703125,-377.0
100,250,-400.69854736328125,-400.0
100,250,-514.0803833007812,-510.0
100,250,-363.12335205078125,-369.0
100,250,-487.1141357421875,-487.0
100,250,-257.614013671875,-257.0
100,250,-317.11767578125,-317.0
100,250,-431.33447265625,-432.0
100,250,-295.08502197265625,-295.0
100,250,-307.8226318359375,-307.0
100,250,-465.9597473144531,-508.0
100,250,-344.1348876953125,-392.0
100,250,-236.1827392578125,-246.0
100,250,-370.4593505859375,-425.0
100,250,-502.9996032714844,-531.0
100,250,-390.10540771484375,-390.0
100,250,-277.76483154296875,-277.0
100,250,-377.1977233886719,-377.0
100,250,-407.5367431640625,-407.0
100,250,-413.890869140625,-413.0
100,250,-503.4415283203125,-509.0
100,250,-399.678466796875,-399.0
100,250,-507.9113464355469,-508.0
100,250,-415.83935546875,-415.0
100,250,-377.3526611328125,-377.0
100,250,-449.6020812988281,-449.0
100,250,-205.2022247314453,-205.0
100,250,-397.23443603515625,-397.0
100,250,-502.12255859375,-502.0
100,250,-292.0431823730469,-292.0
100,250,-380.2809143066406,-391.0
100,250,-471.1663818359375,-482.0
100,250,-469.94671630859375,-470.0
100,250,-448.1892395019531,-460.0
100,250,-361.108642578125,-372.0
100,250,-421.87982177734375,-421.0
100,250,-488.45751953125,-488.0
100,250,-416.77337646484375,-416.0
100,250,-378.7192077636719,-386.0
100,250,-357.17584228515625,-357.0
100,250,-308.74127197265625,-307.0
100,250,-433.2568359375,-433.0
100,250,-389.24456787109375,-389.0
100,250,-428.3522033691406,-440.0
100,250,-304.2056884765625,-300.0
250,400,-1014.819580078125,-1036.0
250,400,-1092.3006591796875,-1108.0
250,400,-1112.1405029296875,-1112.0
250,400,-1250.259765625,-1270.0
250,400,-865.6334228515625,-865.0
250,400,-648.9535522460938,-660.0
250,400,-1211.3978271484375,-1223.0
250,400,-1010.3702392578125,-1017.0
250,400,-1079.6737060546875,-1077.0
250,400,-931.9490356445312,-944.0
250,400,-928.0501708984375,-928.0
250,400,-1002.8152465820312,-1018.0
250,400,-1019.4835205078125,-1019.0
250,400,-921.844970703125,-921.0
250,400,-1125.6385498046875,-1124.0
250,400,-207.36770629882812,-200.0
250,400,-781.9022827148438,-781.0
250,400,-1024.6165771484375,-1028.0
250,400,-975.9945068359375,-975.0
250,400,-1220.95458984375,-1220.0
250,400,-870.9432373046875,-870.0
250,400,-1085.818603515625,-1108.0
250,400,-953.975830078125,-953.0
250,400,-952.769775390625,-954.0
250,400,-975.9452514648438,-975.0
250,400,-1436.795166015625,-1421.0
250,400,-1048.0537109375,-1055.0
250,400,-859.6802978515625,-859.0
250,400,-1130.1302490234375,-1144.0
250,400,-1042.544677734375,-1042.0
250,400,-888.8958740234375,-911.0
250,400,-1141.4927978515625,-1144.0
250,400,-853.032958984375,-865.0
250,400,-1030.8643798828125,-1040.0
250,400,-971.838623046875,-984.0
250,400,-955.9400634765625,-955.0
250,400,-1094.02587890625,-1094.0
250,400,-755.255615234375,-755.0
250,400,-914.9334106445312,-922.0
250,400,-846.6517333984375,-846.0
250,400,-906.6393432617188,-906.0
250,400,-1057.299560546875,-1057.0
250,400,-473.4818420410156,-866.0
250,400,-993.3433837890625,-993.0
250,400,-837.4168701171875,-837.0
250,400,-556.510498046875,-556.0
250,400,-1048.1890869140625,-1086.0
250,400,-1012.141357421875,-1012.0
250,400,-1124.042236328125,-1146.0
250,400,-1037.4534912109375,-1037.0
250,400,-985.992919921875,-985.0
250,400,-1240.96484375,-1240.0
250,400,-963.214111328125,-963.0
250,400,-528.2374267578125,-531.0
250,400,-176.9811553955078,-199.0
250,400,-1088.6434326171875,-1089.0
250,400,-757.0347290039062,-771.0
250,400,-1024.519287109375,-1037.0
250,400,-1068.5911865234375,-1067.0
250,400,-885.1886596679688,-896.0
250,400,-722.7041015625,-722.0
250,400,-955.1093139648438,-955.0
250,400,-1057.247802734375,-1057.0
250,400,-840.6705932617188,-840.0
250,400,-935.1642456054688,-935.0
250,400,-1150.3311767578125,-1150.0
250,400,-1036.3095703125,-1047.0
250,400,-1138.691162109375,-1138.0
250,400,-1039.499755859375,-1039.0
